year,city,country,local_avg_temp,,year,global_avg_temp,
1817,London,United Kingdom,8.95,8.853,1817,6.98,7.203
1818,London,United Kingdom,9.88,8.95,1818,7.83,7.223
1819,London,United Kingdom,9.58,9.009,1819,7.37,7.252
1820,London,United Kingdom,8.61,8.973,1820,7.62,7.322
1821,London,United Kingdom,9.63,8.926,1821,8.09,7.445
1822,London,United Kingdom,10.36,9.104,1822,8.19,7.559
1823,London,United Kingdom,8.8,9.071,1823,7.72,7.557
1824,London,United Kingdom,9.65,9.243,1824,8.55,7.653
1825,London,United Kingdom,9.98,9.342,1825,8.39,7.768
1826,London,United Kingdom,10.12,9.556,1826,8.36,7.91
1827,London,United Kingdom,9.37,9.598,1827,8.81,8.093
1828,London,United Kingdom,10.1,9.62,1828,8.17,8.127
1829,London,United Kingdom,7.95,9.457,1829,7.94,8.184
1830,London,United Kingdom,8.78,9.474,1830,8.52,8.274
1831,London,United Kingdom,10.01,9.512,1831,7.64,8.229
1832,London,United Kingdom,9.24,9.4,1832,7.45,8.155
1833,London,United Kingdom,9.4,9.46,1833,8.01,8.184
1834,London,United Kingdom,10.59,9.554,1834,8.15,8.144
1835,London,United Kingdom,9.48,9.504,1835,7.39,8.044
1836,London,United Kingdom,9.04,9.396,1836,7.7,7.978
1837,London,United Kingdom,8.85,9.344,1837,7.38,7.835
1838,London,United Kingdom,8.05,9.139,1838,7.51,7.769
1839,London,United Kingdom,8.89,9.233,1839,7.63,7.738
1840,London,United Kingdom,8.68,9.223,1840,7.8,7.666
1841,London,United Kingdom,9.12,9.134,1841,7.69,7.671
1842,London,United Kingdom,9.43,9.153,1842,8.02,7.728
1843,London,United Kingdom,9.4,9.153,1843,8.17,7.744
1844,London,United Kingdom,8.85,8.979,1844,7.65,7.694
1845,London,United Kingdom,8.46,8.877,1845,7.85,7.74
1846,London,United Kingdom,10.48,9.021,1846,8.55,7.825
1847,London,United Kingdom,9.24,9.06,1847,8.09,7.896
1848,London,United Kingdom,9.52,9.207,1848,7.98,7.943
1849,London,United Kingdom,9.42,9.26,1849,7.98,7.978
1850,London,United Kingdom,9.06,9.298,1850,7.9,7.988
1851,London,United Kingdom,9.17,9.303,1851,8.18,8.037
1852,London,United Kingdom,9.96,9.356,1852,8.1,8.045
1853,London,United Kingdom,8.44,9.26,1853,8.04,8.032
1854,London,United Kingdom,9.3,9.305,1854,8.21,8.088
1855,London,United Kingdom,8.03,9.262,1855,8.11,8.114
1856,London,United Kingdom,9.17,9.131,1856,8,8.059
1857,London,United Kingdom,10.21,9.228,1857,7.76,8.026
1858,London,United Kingdom,9.2,9.196,1858,8.1,8.038
1859,London,United Kingdom,9.97,9.251,1859,8.25,8.065
1860,London,United Kingdom,8.17,9.162,1860,7.96,8.071
1861,London,United Kingdom,9.42,9.187,1861,7.85,8.038
1862,London,United Kingdom,9.56,9.147,1862,7.56,7.984
1863,London,United Kingdom,9.9,9.293,1863,8.11,7.991
1864,London,United Kingdom,8.74,9.237,1864,7.98,7.968
1865,London,United Kingdom,9.82,9.416,1865,8.18,7.975
1866,London,United Kingdom,9.69,9.468,1866,8.29,8.004
1867,London,United Kingdom,9.06,9.353,1867,8.44,8.072
1868,London,United Kingdom,10.5,9.483,1868,8.25,8.087
1869,London,United Kingdom,9.46,9.432,1869,8.43,8.105
1870,London,United Kingdom,8.94,9.509,1870,8.2,8.129
1871,London,United Kingdom,8.97,9.464,1871,8.12,8.156
1872,London,United Kingdom,10.07,9.515,1872,8.19,8.219
1873,London,United Kingdom,9.26,9.451,1873,8.35,8.243
1874,London,United Kingdom,9.37,9.514,1874,8.43,8.288
1875,London,United Kingdom,9.43,9.475,1875,7.86,8.256
1876,London,United Kingdom,9.75,9.481,1876,8.08,8.235
1877,London,United Kingdom,9.43,9.518,1877,8.54,8.245
1878,London,United Kingdom,9.47,9.415,1878,8.83,8.303
1879,London,United Kingdom,7.62,9.231,1879,8.17,8.277
1880,London,United Kingdom,9.35,9.272,1880,8.12,8.269
1881,London,United Kingdom,8.71,9.246,1881,8.27,8.284
1882,London,United Kingdom,9.43,9.182,1882,8.13,8.278
1883,London,United Kingdom,9.21,9.177,1883,7.98,8.241
1884,London,United Kingdom,9.86,9.226,1884,7.77,8.175
1885,London,United Kingdom,8.68,9.151,1885,7.92,8.181
1886,London,United Kingdom,8.8,9.056,1886,7.95,8.168
1887,London,United Kingdom,8.39,8.952,1887,7.91,8.105
1888,London,United Kingdom,8.31,8.836,1888,8.09,8.031
1889,London,United Kingdom,8.91,8.965,1889,8.32,8.046
1890,London,United Kingdom,8.86,8.916,1890,7.97,8.031
1891,London,United Kingdom,8.65,8.91,1891,8.02,8.006
1892,London,United Kingdom,8.35,8.802,1892,8.07,8
1893,London,United Kingdom,10.05,8.886,1893,8.06,8.008
1894,London,United Kingdom,9.42,8.842,1894,8.16,8.047
1895,London,United Kingdom,8.91,8.865,1895,8.15,8.07
1896,London,United Kingdom,9.41,8.926,1896,8.21,8.096
1897,London,United Kingdom,9.5,9.037,1897,8.29,8.134
1898,London,United Kingdom,10.08,9.214,1898,8.18,8.143
1899,London,United Kingdom,9.85,9.308,1899,8.4,8.151
1900,London,United Kingdom,9.73,9.395,1900,8.5,8.204
1901,London,United Kingdom,9.2,9.45,1901,8.54,8.256
1902,London,United Kingdom,8.95,9.51,1902,8.3,8.279
1903,London,United Kingdom,9.45,9.45,1903,8.22,8.295
1904,London,United Kingdom,9.18,9.426,1904,8.09,8.288
1905,London,United Kingdom,9.25,9.46,1905,8.23,8.296
1906,London,United Kingdom,9.62,9.481,1906,8.38,8.313
1907,London,United Kingdom,9.03,9.434,1907,7.95,8.279
1908,London,United Kingdom,9.31,9.357,1908,8.19,8.28
1909,London,United Kingdom,8.7,9.242,1909,8.18,8.258
1910,London,United Kingdom,9.39,9.208,1910,8.22,8.23
1911,London,United Kingdom,10.22,9.31,1911,8.18,8.194
1912,London,United Kingdom,9.57,9.372,1912,8.17,8.181
1913,London,United Kingdom,9.89,9.416,1913,8.3,8.189
1914,London,United Kingdom,9.98,9.496,1914,8.59,8.239
1915,London,United Kingdom,9.07,9.478,1915,8.59,8.275
1916,London,United Kingdom,9.28,9.444,1916,8.23,8.26
1917,London,United Kingdom,8.65,9.406,1917,8.02,8.267
1918,London,United Kingdom,9.6,9.435,1918,8.13,8.261
1919,London,United Kingdom,8.48,9.413,1919,8.38,8.281
1920,London,United Kingdom,9.67,9.441,1920,8.36,8.295
1921,London,United Kingdom,10.6,9.479,1921,8.57,8.334
1922,London,United Kingdom,8.81,9.403,1922,8.41,8.358
1923,London,United Kingdom,9.17,9.331,1923,8.42,8.37
1924,London,United Kingdom,9.34,9.267,1924,8.51,8.362
1925,London,United Kingdom,9.31,9.291,1925,8.53,8.356
1926,London,United Kingdom,9.83,9.346,1926,8.73,8.406
1927,London,United Kingdom,9.25,9.406,1927,8.52,8.456
1928,London,United Kingdom,9.69,9.415,1928,8.63,8.506
1929,London,United Kingdom,9.09,9.476,1929,8.24,8.492
1930,London,United Kingdom,9.7,9.479,1930,8.63,8.519
1931,London,United Kingdom,9.12,9.331,1931,8.72,8.534
1932,London,United Kingdom,9.57,9.407,1932,8.71,8.564
1933,London,United Kingdom,9.96,9.486,1933,8.34,8.556
1934,London,United Kingdom,10.11,9.563,1934,8.63,8.568
1935,London,United Kingdom,9.9,9.622,1935,8.52,8.567
1936,London,United Kingdom,9.43,9.582,1936,8.55,8.549
1937,London,United Kingdom,9.69,9.626,1937,8.7,8.567
1938,London,United Kingdom,10.18,9.675,1938,8.86,8.59
1939,London,United Kingdom,9.77,9.743,1939,8.76,8.642
1940,London,United Kingdom,9.06,9.679,1940,8.76,8.655
1941,London,United Kingdom,9.09,9.676,1941,8.77,8.66
1942,London,United Kingdom,9.1,9.629,1942,8.73,8.662
1943,London,United Kingdom,10.19,9.652,1943,8.76,8.704
1944,London,United Kingdom,9.62,9.603,1944,8.85,8.726
1945,London,United Kingdom,10.39,9.652,1945,8.58,8.732
1946,London,United Kingdom,9.58,9.667,1946,8.68,8.745
1947,London,United Kingdom,9.75,9.673,1947,8.8,8.755
1948,London,United Kingdom,10.16,9.671,1948,8.75,8.744
1949,London,United Kingdom,10.63,9.757,1949,8.59,8.727
1950,London,United Kingdom,9.75,9.826,1950,8.37,8.688
1951,London,United Kingdom,9.52,9.869,1951,8.63,8.674
1952,London,United Kingdom,9.35,9.894,1952,8.64,8.665
1953,London,United Kingdom,9.95,9.87,1953,8.87,8.676
1954,London,United Kingdom,9.35,9.843,1954,8.56,8.647
1955,London,United Kingdom,9.39,9.743,1955,8.63,8.652
1956,London,United Kingdom,8.87,9.672,1956,8.28,8.612
1957,London,United Kingdom,10.26,9.723,1957,8.73,8.605
1958,London,United Kingdom,9.66,9.673,1958,8.77,8.607
1959,London,United Kingdom,10.63,9.673,1959,8.73,8.621
1960,London,United Kingdom,9.88,9.686,1960,8.58,8.642
1961,London,United Kingdom,10.2,9.754,1961,8.8,8.659
1962,London,United Kingdom,8.65,9.684,1962,8.75,8.67
1963,London,United Kingdom,8.48,9.537,1963,8.86,8.669
1964,London,United Kingdom,9.53,9.555,1964,8.41,8.654
1965,London,United Kingdom,9.03,9.519,1965,8.53,8.644
1966,London,United Kingdom,9.59,9.591,1966,8.6,8.676
1967,London,United Kingdom,9.81,9.546,1967,8.7,8.673
1968,London,United Kingdom,9.48,9.528,1968,8.52,8.648
1969,London,United Kingdom,9.47,9.412,1969,8.6,8.635
1970,London,United Kingdom,9.69,9.393,1970,8.7,8.647
1971,London,United Kingdom,9.89,9.362,1971,8.6,8.627
1972,London,United Kingdom,9.41,9.438,1972,8.5,8.602
1973,London,United Kingdom,9.75,9.565,1973,8.95,8.611
1974,London,United Kingdom,9.7,9.582,1974,8.47,8.617
1975,London,United Kingdom,9.99,9.678,1975,8.74,8.638
1976,London,United Kingdom,10.28,9.747,1976,8.35,8.613
1977,London,United Kingdom,9.69,9.735,1977,8.85,8.628
1978,London,United Kingdom,9.41,9.728,1978,8.69,8.645
1979,London,United Kingdom,9.06,9.687,1979,8.73,8.658
1980,London,United Kingdom,9.54,9.672,1980,8.98,8.686
1981,London,United Kingdom,9.38,9.621,1981,9.17,8.743
1982,London,United Kingdom,10.07,9.687,1982,8.64,8.757
1983,London,United Kingdom,10.12,9.724,1983,9.03,8.765
1984,London,United Kingdom,9.75,9.729,1984,8.69,8.787
1985,London,United Kingdom,9,9.63,1985,8.66,8.779
1986,London,United Kingdom,8.94,9.496,1986,8.83,8.827
1987,London,United Kingdom,9.22,9.449,1987,8.99,8.841
1988,London,United Kingdom,9.82,9.49,1988,9.2,8.892
1989,London,United Kingdom,10.76,9.66,1989,8.92,8.911
1990,London,United Kingdom,10.94,9.8,1990,9.23,8.936
1991,London,United Kingdom,9.67,9.829,1991,9.18,8.937
1992,London,United Kingdom,10.15,9.837,1992,8.84,8.957
1993,London,United Kingdom,9.69,9.794,1993,8.87,8.941
1994,London,United Kingdom,10.48,9.867,1994,9.04,8.976
1995,London,United Kingdom,10.55,10.022,1995,9.35,9.045
1996,London,United Kingdom,9.27,10.055,1996,9.04,9.066
1997,London,United Kingdom,10.64,10.197,1997,9.2,9.087
1998,London,United Kingdom,10.4,10.255,1998,9.52,9.119
1999,London,United Kingdom,10.86,10.265,1999,9.29,9.156
2000,London,United Kingdom,10.52,10.223,2000,9.2,9.153
2001,London,United Kingdom,10.18,10.274,2001,9.41,9.176
2002,London,United Kingdom,10.91,10.35,2002,9.57,9.249
2003,London,United Kingdom,10.81,10.462,2003,9.53,9.315
2004,London,United Kingdom,10.77,10.491,2004,9.32,9.343
2005,London,United Kingdom,10.63,10.499,2005,9.7,9.378
2006,London,United Kingdom,11.1,10.682,2006,9.53,9.427
2007,London,United Kingdom,10.83,10.701,2007,9.73,9.48
2008,London,United Kingdom,10.38,10.699,2008,9.43,9.471
2009,London,United Kingdom,10.52,10.665,2009,9.51,9.493
2010,London,United Kingdom,9.38,10.551,2010,9.7,9.543
2011,London,United Kingdom,11.19,10.652,2011,9.52,9.554
2012,London,United Kingdom,10,10.561,2012,9.51,9.548
2013,London,United Kingdom,9.91,10.471,2013,9.61,9.556
,,,,,2014,9.57,
,,,,,2015,9.83,
